masp,tensp,slt,mota,gia
SP006439,Nach dem groÃ?Â?en Feuer. ( Ab 10 J.).,938,,974000
SP006440,Der Spion Gottes. Kurt Gerstein - ein SS- Offizier im Widerstand?,978,,756000
SP006441,Schachnovelle,473,,616000
SP006442,Die Abschiede.,57,,938000
SP006443,Die verlorenen Spuren. Roman.,272,,901000
SP006444,Hallo   hier bin ich!,1,,307000
SP006445,A Midsummer Night's Dream: Original Text &amp; Modern Verse (Shakespeare Made Easy Series),488,,665000
SP006446,Die Geschichte von Herrn Sommer,42,,801000
SP006447,Right Stuff,480,,696000
SP006448,The Arctic Incident (Artemis Fowl   Book 2),74,,534000
SP006449,Tulip Fever,695,,469000
SP006450,Milk Glass Moon (Ballantine Reader's Circle),662,,697000
SP006451,Wild Orchids : A Novel,826,,619000
SP006452,Lokalausgabe. Sonderausgabe.,882,,538000
SP006453,SOMETHING HAPPENED,349,,190000
SP006454,Fall on Your Knees (Wheeler Hardcover),810,,553000
SP006455,Das Puppenkind.,518,,851000
SP006456,Penguin Book of English Short Stories,201,,960000
SP006457,L Is for Lawless,54,,249000
SP006458,The House on Mango Street,125,,961000
SP006459,Olivia Joules and the Overactive Imagination (Fielding   Helen),491,,783000
SP006460,The Other Side of the Story : A Novel (Keyes   Marian),156,,716000
SP006461,Turtle Moon,922,,818000
SP006462,Saint Maybe,667,,822000
SP006463,Sisteria,836,,310000
SP006464,The Time Traveler's Wife (Harvest Book),248,,280000
SP006465,The Inn at Lake Devine,915,,505000
SP006466,Then She Found Me,794,,591000
SP006467,The Probable Future (Ballantine Reader's Circle),950,,632000
SP006468,Colonel Rutherford's Colt,647,,467000
SP006469,Government Project,587,,459000
SP006470,The Plunge,452,,514000
SP006471,Der kleine Lord.,70,,858000
SP006472,The Color Purple,698,,565000
SP006473,The Marriage of Cadmus and Harmony,117,,154000
SP006474,Nancy Wake: A Biography of Our Greatest War Heroine,930,,365000
SP006475,Glory Road,162,,403000
SP006476,Genesis Revisited,257,,789000
SP006477,26 Nights : A Sexual Adventure,56,,490000
SP006478,Rose of the Prophet   Volume III: The Prophet of Akhran,165,,460000
SP006479,The Paladin of the Night (Rose of Prophet No. 2),974,,168000
SP006480,Tailchaser's Song,377,,708000
SP006481,To Be Someone,185,,328000
SP006482,Darkangel,621,,920000
SP006483,Will of the Wanderer (Will of the Wanderer),344,,942000
SP006484,Tailchaser's Song,638,,352000
SP006485,To Dream in the City of Sorrows (Babylon 5   Book 9),407,,687000
SP006486,Twenty Love Poems: And a Song of Despair (Twentieth Century Classics),980,,123000
SP006487,101 Dinosaur Jokes,192,,769000
SP006488,Emergency Room (Point),36,,192000
SP006489,The Mystery at Lilac Inn (Nancy Drew Mystery Stories   No 4),156,,780000
SP006490,The Secret of Shadow Ranch (Nancy Drew Mystery Stories   No 5),729,,662000
SP006491,The Kid Who Got Zapped Through Time (An Avon Camelot Book),675,,660000
SP006492,The Med,41,,917000
SP006493,You Can't Count a Billion Dollars and Other Little-Known Facts About Money,682,,588000
SP006494,Myrtle of Willendorf,476,,485000
SP006495,Wide Sargasso Sea (Penguin Student Editions),571,,669000
SP006496,Rebecca's Tale,263,,978000
SP006497,McDougal's Honolulu mysteries: Case studies from the life of a Honolulu detective,172,,908000
SP006498,The MULCHING OF AMERICA: A Novel,492,,757000
SP006499,The Rainbow People of God: The Making of a Peaceful Revolution,34,,631000
SP006500,Field of Thirteen,704,,429000
SP006501,Missouri Gardener's Guide,36,,321000
SP006502,The Cider House Rules,217,,175000
SP006503,A History of God: The 4  000-Year Quest of Judaism   Christianity and Islam,317,,798000
SP006504,The mitten : a Ukrainian folktale,922,,331000
SP006505,de Parte de La Princesa Muerta,102,,432000
SP006506,Rendezvous with Rama,711,,266000
SP006507,Trouble the Water: 250 Years of African-American Poetry,565,,229000
SP006508,Madame Deluxe (National Poetry Series),276,,647000
SP006509,42 Gifts I'd Like to Give to You: A Guidebook of Wonderful Thoughts to Carry Along on Your Journey Through Life (Self-Help),532,,297000
SP006510,The Joys and Challenges of Motherhood: A Collection of Poems (Blue Mountain Arts Collection (Paperback)),372,,193000
SP006511,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,965,,887000
SP006512,Money Matters The Host Of The World's Most Popular Financial Radio Program Answers All Your Questions,17,,107000
SP006513,People Yearbook: Pop Culture Review,272,,469000
SP006514,Entertainment Weekly Yearbook 2000,45,,558000
SP006515,The Man in the Brown Suit (Agatha Christie Mysteries Collection (Paperback)),787,,478000
SP006516,American Pit Bull and Staffordshire Terriers: Everything About Purchase   Care   Nutrition   Breeding   Behavior   and Training (A Complet),840,,861000
SP006517,Guide to Prayer,218,,672000
SP006518,The Power of a Praying Husband,376,,399000
SP006519,On the Bus With Rosa Parks: Poems,550,,725000
SP006520,A Night Without Armor : Poems,20,,611000
SP006521,The Selected Poems of Nikki Giovanni: 1968-1995,520,,974000
SP006522,Bum Rush the Page: A Def Poetry Jam,695,,749000
SP006523,The Best American Poetry 2000 (Best American Poetry (Paper)   2000),419,,393000
SP006524,Phantom Feast,821,,963000
SP006525,Simplicity   Poetry and Photography,235,,450000
SP006526,The Meat-Lover's Vegetarian Cookbook,774,,281000
SP006527,Why the Weight? Dare To Be Great!,702,,563000
SP006528,Centuries: Prose Poems,27,,437000
SP006529,Around in Circles,778,,999000
SP006530,Seth and Me and Rebel Make Three,332,,954000
SP006531,Gates of Fire: An Epic Novel of the Battle of Thermopylae,691,,123000
SP006532,Clearwater,646,,873000
SP006533,Fools Die,256,,646000
SP006534,Hotel Pastis: A Novel of Provence,809,,414000
SP006535,The Twelve Cats of Christmas,452,,621000
SP006536,Violin,436,,868000
SP006537,Nosferatu: A Novel,24,,835000
SP006538,A Little Princess,650,,497000
SP006539,Killing Time: A Novel of the Future,923,,904000
SP006540,Timeline,875,,303000
SP006541,Rising Sun,616,,999000
SP006542,The Pony Fish's Glow: And Other Clues to Plan and Purpose in Nature,266,,234000
SP006543,Dubliners (Dover Thrift Editions),864,,499000
SP006544,The Open Boat and Other Stories (Dover Thrift Editions),4,,551000
SP006545,All Tomorrow's Parties,880,,165000
SP006546,The Tragical History of Hamlet Prince of Denmark (Pelican Shakespeare),711,,466000
SP006547,American Education with PowerWeb,442,,971000
SP006548,Animal Dreams,291,,989000
SP006549,Bussaco 1810: Wellington Defeats Napoleon's Marshals (Campaign   97),936,,916000
SP006550,Portuguese Army of the Napoleonic Wars (2) : 1806-1815 (Men-At-Arms Series   346),785,,579000
SP006551,Fuentes De Onoro: Wellington's Liberation of Portugal (Campaign 99),855,,693000
SP006552,Napoleon's Line Infantry (Men at Arms Series   148),958,,328000
SP006553,Wellington,719,,856000
SP006554,A Widow for One Year,1,,879000
SP006555,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,983,,473000
SP006556,Nathaniel,241,,196000
SP006557,All I Really Need to Know I Learned from Watching Star Trek,520,,346000
SP006558,Fear and Loathing in Las Vagas,554,,827000
SP006559,RISK,678,,721000
SP006560,The Snakeman Cometh,977,,806000
SP006561,The Hiding Place,35,,151000
SP006562,Hannah's Heart (Zebra Splendor Historical Romances),177,,565000
SP006563,Once upon a Pirate (Harper Monogram),307,,662000
SP006564,House Of Destiny,95,,142000
SP006565,Heartbound (Homespun),623,,559000
SP006566,Annie's Rainbow (Zebra Contemporary Romance),555,,286000
SP006567,People of the Earth (The First North Americans series   Book 3),990,,634000
SP006568,The Servants of Twilight,363,,973000
SP006569,Long Time No See,574,,756000
SP006570,Three Steps Forward Two Steps Back,857,,232000
SP006571,The Formula,148,,267000
SP006572,Gracefully Insane: Life and Death Inside America's Premier Mental Hospital,316,,638000
SP006573,Silent Treatment,794,,527000
SP006574,Sleepwalk,947,,908000
SP006575,Uncle Max,400,,680000
SP006576,Dreamcatcher,313,,618000
SP006577,The Black Echo (Detective Harry Bosch Mysteries),590,,106000
SP006578,Love in the Time of Cholera,55,,240000
SP006579,To Hear a Nightingale,642,,883000
SP006580,Enterprise One to One: Tools for Competing in the Interactive Age,377,,465000
SP006581,The Charm School,933,,362000
SP006582,The Glitter Dome,875,,984000
SP006583,Sunstrike,13,,853000
SP006584,Legacy Of Passion,42,,546000
SP006585,Masquerade,255,,400000
SP006586,The Other Side of Midnight,22,,646000
SP006587,Lords of Misrule,531,,713000
SP006588,FIRE IN BLOOD (Kangaroo Book),394,,532000
SP006589,TOO DEEP FOR TEARS,215,,146000
SP006590,Unsuitable Job for a Woman,896,,542000
SP006591,Just A Minute More - Glimpses of our Great Canadian Heritage,288,,223000
SP006592,Outrage: The Five Reasons Why O. J. Simpson Got Away With Murder,41,,183000
SP006593,Callahan's Crosstime Saloon,341,,367000
SP006594,Callahan's Lady,258,,317000
SP006595,Time Travelers Strictly Cash,71,,383000
SP006596,Business @ the Speed of Thought: Succeeding in the Digital Economy,452,,812000
SP006597,The Best of Crank,981,,812000
SP006598,Castle of Wizardry (The Belgariad   Book 4),528,,958000
SP006599,Old Songs in a New Cafe : Selected Essays,862,,340000
SP006600,Mary Kay,31,,582000
SP006601,Rebellion,170,,541000
SP006602,The Ghost,43,,557000
SP006603,Sleepers,907,,304000
SP006604,Sunrise in the West (Brothers of Gwynedd   Book 1),454,,397000
SP006605,The Hounds of Sunset (The Brothers of Gwynedd   3),154,,748000
SP006606,The Black Raven (Dragon Mage   Book 2),104,,337000
SP006607,Enigma: The Battle for the Code,50,,759000
SP006608,Consuming Passions : A Food-Obsessed Life,489,,840000
SP006609,Don't Die   My Love,964,,166000
SP006610,The Last Promise,77,,622000
SP006611,Time to Let Go,574,,808000
SP006612,Driver's Ed,982,,186000
SP006613,Telling Christina Goodbye,533,,436000
SP006614,Fab Five: Don't Make a Scene   Mum - Book #1 (Fab 5   No. 1),366,,805000
SP006615,Slow Heat in Heaven,546,,498000
SP006616,About a Boy,903,,526000
SP006617,Temptation,871,,265000
SP006618,Billy,42,,810000
SP006619,The Botany of Desire: A Plant's-Eye View of the World,206,,333000
SP006620,Otherwise Known As Sheila the Great,915,,156000
SP006621,And Then There Were None,783,,350000
SP006622,Big-City Bachelor (Harlequin American Romance   No. 828),942,,988000
SP006623,The Vintage Book of Contemporary American Short Stories,585,,837000
SP006624,Normal Girl: A Novel,524,,394000
SP006625,The Runner (Point),329,,566000
SP006626,Coast Road: A Novel,772,,470000
SP006627,2000 What Color is Your Parachute,178,,859000
SP006628,The Womanly Art of Breastfeeding,753,,857000
SP006629,The Birth Book : Everything You Need to Know to Have a Safe and Satisfying Birth (Sears Parenting Library),464,,426000
SP006630,The Girlfriends' Guide to Surviving the First Year of Motherhood: Wise and Witty Advice on Everything from Coping With Postpartum Mood Swings to Salva ...  to  Fitting into That Favorite Pair of Jeans,813,,920000
SP006631,Touchpoints: Your Child's Emotional and Behavioral Development: Birth-3: The Essential Reference for the Early Years,133,,618000
SP006632,The Girlfriends' Guide to Pregnancy,676,,159000
SP006633,Planning Your Pregnancy and Birth   Third Edition,792,,372000
SP006634,The Complete Book of Breastfeeding,849,,960000
SP006635,The New American Dictionary of Baby Names,489,,721000
SP006636,Women Who Love Too Much,907,,505000
SP006637,Desire Lines: A Novel,301,,786000
SP006638,The A.B.C. Murders,476,,609000
SP006639,Nursing Mother   Working Mother: The Essential Guide for Breastfeeding and Staying Close to Your Baby After You Return to Work,964,,580000
SP006640,If Looks Could Kill,461,,518000
SP006641,Im Interesse der Nation. Ein Coq- Rouge- Thriller.,374,,540000
SP006642,I Thought My Father Was God: And Other True Tales from NPR's National Story Project,803,,459000
SP006643,Eva Luna.,919,,605000
SP006644,Strata,252,,128000
SP006645,La prophÃ?Â©tie des Andes,546,,732000
SP006646,Under the Skin: A Novel,765,,102000
SP006647,Ordinary People,801,,337000
SP006648,Long Dark Tea Time of the Soul,113,,912000
SP006649,Adiel,565,,413000
SP006650,Name of the Rose,129,,491000
SP006651,The Beautiful and Damned (Signet Classics (Paperback)),605,,277000
SP006652,Jim the Boy : A Novel,225,,207000
SP006653,Wrong Information Is Being Given Out at Princeton: ,902,,155000
SP006654,A Rich Full Death (Vintage Crime/Black Lizard),467,,301000
SP006655,Nalda Said,813,,950000
SP006656,Code Ezra,741,,690000
SP006657,Water Music (The Penguin Contemporary American Fiction Series),642,,209000
SP006658,Hotel Du Lac (Vintage Contemporaries),60,,909000
SP006659,Little Princess,986,,939000
SP006660,The Angel of Darkness,968,,989000
SP006661,The Woman in White (Classics),124,,911000
SP006662,Lady Oracle,885,,496000
SP006663,The Edible Woman,847,,232000
SP006664,Pride and Prejudice,524,,828000
SP006665,The Dressmaker,787,,368000
SP006666,Lives of the Monster Dogs,365,,492000
SP006667,DEANS DECEMBER,157,Pocket,919000
SP006668,Devilish,137,Signet Book,791000
SP006669,Andersen's Fairy Tales (Signet Classics),612,Signet Classics,692000
SP006670,Bless Me   Ultima,663,Warner Books,331000
SP006671,An Old-Fashioned Girl,814,Yearling Books,443000
SP006672,Skellig,540,Yearling Books,958000
SP006673,Gabriela   Clove and Cinnamon,834,Avon,975000
SP006674,Things Fall Apart : A Novel,709,Anchor,703000
SP006675,There Are No Accidents: Synchronicity and the Stories of Our Lives,33,Putnam Pub Group,285000
SP006676,Butterfly (Orphans),151,Pocket,562000
SP006677,The Twentieth Century Collection: Eight Extraordinary One-Act Plays by Playwright,572,Writers Club Press,644000
SP006678,84 Charing Cross Road,416,Warner Books> C/o Little Br,651000
SP006679,Allie's Crocodile (Young Puffin Confident Readers),56,Penguin Uk,823000
SP006680,Life  the Universe and Everything,65,Pan Books Ltd,483000
SP006681,Girl Who Hated Books(the),949,Second Story Press,343000
SP006682,Welcome to the World   Baby Girl! : A Novel,707,Random House,429000
SP006683,Jewel (Oprah's Book Club),418,Pocket,170000
SP006684,Starting and Running a Profitable Investment Club,527,Random House,366000
SP006685,Into the Woods,506,Theatre Communications Group,101000
SP006686,The Mindful Traveler: A Guide to Journaling and Transformative Travel,518,Open Court Publishing Company,733000
SP006687,Welcome to My Country: Journeys into the World of a Therapist and Her Patients,319,Anchor,879000
SP006688,The Relationship Cure: A Five-Step Guide for Building Better Connections with Family   Friends   and Lovers,546,Crown Publishing Group (NY),994000
SP006689,Surfing the Himalayas: A Spiritual Adventure,4,St Martins Pr,227000
SP006690,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,971,Pocket,467000
SP006691,Monkeys,690,Trafalgar Square,585000
SP006692,The Soul of Your Pet: Evidence for the Survival of Animals After Death,903,Holmes Publishing Group,917000
SP006693,Hoochie Mama (Mad Dog Rodriguez Trilogy),348,Simon &amp; Schuster,818000
SP006694,Traumreisende.,687,Goldmann,930000
SP006695,What Do You Know About Manners?,450,Meadowbrook,920000
SP006696,National Audubon First Field Guide: Night Sky (National Audubon Society First Field Guide),826,Scholastic,253000
SP006697,Planet of the Apes,787,Harperentertn,411000
SP006698,The Transall Saga,971,Laurel Leaf,561000
SP006699,Caring for Your Baby and Young Child: Birth to Age 5 (The American Academy of Pediatrics),636,Bantam,938000
SP006700,Getting Your Child to Sleep...and Back to Sleep: Tips for Parents of Infants   Toddlers and Preschoolers (Family &amp; Childcare),324,Book Peddlers,817000
SP006701,The Three Stigmata of Palmer Eldritch,211,Vintage,252000
SP006702,Quentins,442,Signet Book,295000
SP006703,The Indictment,371,St. Martin's Paperbacks,333000
SP006704,I Is for Innocent,584,Fawcett Books,581000
SP006705,The Final Faberge,873,Onyx Books,373000
SP006706,The Many Aspects of Mobile Home Living: A Novel (Vintage Contemporaries),79,Vintage Books USA,457000
SP006707,Monkeewrench,988,Putnam Publishing Group,569000
SP006708,Jackdaws,691,Dutton Books,130000
SP006709,Evening Class,739,Dell,583000
SP006710,The Eleventh Commandment,346,HarperTorch,630000
SP006711,Morality for Beautiful Girls (No.1 Ladies Detective Agency),750,Anchor,248000
SP006712,New Orleans Mourning (Skip Langdon Novels (Paperback)),104,Fawcett Books,332000
SP006713,Under the Greenwood Tree: A Rural Painting of the Dutch School (Penguin Classics),823,Penguin Books,556000
SP006714,Harley Hahn's Internet &amp; Web Yellow Pages   Millennium Edition,673,McGraw-Hill Osborne Media,162000
SP006715,Welcome to Little Golden Book Land (Big Golden Book),834,Golden Books,448000
SP006716,A Charlie Brown Christmas,936,Little Simon,900000
SP006717,Silver Thread,929,Aladdin,111000
SP006718,Lizzie McGuire: The Orchids and Gumbo Poker Club (Lizzie Mcguire),11,Disney Press,761000
SP006719,Chomps   Flea   and Gray Cat (That's Me!),445,Aladdin,964000
SP006720,Blue Sky   Butterfly (Puffin Novel),402,Penguin USA,134000
SP006721,The Copper Elephant,65,HarperTempest,763000
SP006722,Violet Eyes,59,Simon Pulse,954000
SP006723,Pine Tree Parable Board Book,558,Tommy Nelson,710000
SP006724,N Is for Noose,840,Fawcett Books,762000
SP006725,Red Angel: A Paul Devlin Mystery,313,Avon,478000
SP006726,Black Heat : A Nina Halligan Novel,253,Avon,517000
SP006727,Blue Plate Special (Sunny Childs Mysteries),75,Prime Crime,210000
SP006728,Green Angel,595,Scholastic Paperbacks,305000
SP006729,The Bronze Horseman,433,HarperTorch,852000
SP006730,The Gospel According to Mary: A New Testament for Women,800,Crossroad Publishing Company,691000
SP006731,Never Pay Retail: How to Save 20% to 80% on Everything You Buy,735,St Martins Pr,566000
SP006732,In Our Humble Opinion: Car Talk's Click and Clack Rant and Rave,50,Perigee Books,747000
SP006733,Anguished English: An Anthology of Accidental Assaults Upon Our Language,328,Laurel,625000
SP006734,The Little Prince,710,Harvest Books,932000
SP006735,Native Tongue,775,Fawcett Books,213000
SP006736,Die Drei Und Der Giftige Gockel (Fiction   Poetry and Drama),445,Deutscher Taschenbuch Verlag (DTV),960000
SP006737,Triplet Code,759,Prime Crime,620000
SP006738,Fierce Invalids Home from Hot Climates,114,Bantam,876000
SP006739,Picture of Dorian Gray (Wordsworth Classics),500,NTC/Contemporary Publishing Company,1000000
SP006740,Orlando: A Biography,14,Lb May &amp; Assoc Inc,190000
SP006741,Lord Arthur Savile's Crime and Other Stories (Penguin Modern Classics),680,Penguin USA,456000
SP006742,Trainspotting,672,W. W. Norton &amp; Company,130000
SP006743,First the Raven,142,PublishAmerica,237000
SP006744,Frontier Mayhem (Wilderness    No 25),644,Leisure Books,483000
SP006745,Voices After Midnight,160,Yearling Books,808000
SP006746,James Herriot's Animal Stories,155,St. Martin's Press,567000
SP006747,Blizzard (Med Center    No 5),782,Pointe Pubs,244000
SP006748,Instant Style for Writers (Concise Guides for the Next Century),769,Berkley Publishing Group,385000
SP006749,Invisible Forms: A Guide to Literary Curiosities,629,Thomas Dunne Books,723000
SP006750,Fears Unnamed,386,Leisure Books,125000
SP006751,Crane's Blue Book of Stationery: The Styles and Etiquette of Letters   Notes   and Invitations,241,Doubleday Books,882000
SP006752,ICEFIRE,928,Atria,706000
SP006753,Passionate Attention; An Introduction to Literary Study,787,W. W. Norton &amp; Company,340000
SP006754,The Black Cat,212,Tor Books,424000
SP006755,Little Women (Scholastic Classics),651,Scholastic,814000
SP006756,Shutter Island,266,HarperTorch,684000
SP006757,Tales from Shakespeare (Penguin Popular Classics),810,Penguin Books Ltd,598000
SP006758,Where Are the Children,776,Bantam Doubleday Dell,652000
SP006759,Darkness and Light (Dragonlance: Preludes),916,Wizards of the Coast,738000
SP006760,Hawaii at Its Best (World at Its Best Travel Series),198,Passport Books,884000
SP006761,The Summer of the Swans,553,Puffin Books,798000
SP006762,A Wrinkle in Time,319,Laure Leaf,283000
SP006763,To Love This Life: Quotations From Helen Keller,922,Scholastic Paperbacks,489000
SP006764,Cauldron Uk,706,Pan Books Ltd,1000000
SP006765,Lady Chatterley's Lover,476,Penguin Books Ltd,267000
SP006766,Absolutely Normal Chaos,429,HarperCollins,628000
SP006767,Sixteen and Dying (One Last Wish),475,Bantam,151000
SP006768,Getting Over Jack Wagner,683,Downtown Press,980000
SP006769,Chicken Soup for the Soul at Work (Chicken Soup for the Soul Series (Paper)),88,Health Communications,392000
SP006770,L'Amour Dure Trois,952,Distribooks,183000
SP006771,Napoleon of Notting Hill (Wordsworth Collection),785,NTC/Contemporary Publishing,896000
SP006772,Charlie and the Great Glass Elevator: The Further Adventures of Charlie Bucket and Willie Wonka   Chocolate-Maker Extraordinary,80,Puffin Books,420000
SP006773,Our Dreaming Mind,22,Ballantine Books,407000
SP006774,The Abuse Excuse: And Other Cop-Outs   Sob Stories   and Evasions of Responsibility,198,Little Brown &amp; Co,428000
SP006775,Healing and the Mind,302,Doubleday Books,649000
SP006776,Shot in the Heart,251,Doubleday Books,877000
SP006777,Care of the Soul: A Guide for Cultivating Depth and Sacredness in Everyday Life,59,HarperCollins Publishers,834000
SP006778,On the Edge of Darkness,492,Doubleday Books,595000
SP006779,Gap Creek: A Novel,655,Algonquin Books of Chapel Hill,596000
SP006780,Three Lives: Stories of the Good Anna   Melanctha and the Gentle Lena (Dover Thrift Editions),747,Dover Publications,389000
SP006781,Little Miss Chatterbox (Little Miss Books),693,Price Stern Sloan Pub (J),344000
SP006782,Fried Green Tomatoes at the Whistle Stop Cafe,575,Ballantine Books,525000
SP006783,Stranger in the Forest: On Foot Across Borneo (Vintage Departures),89,Vintage Books USA,346000
SP006784,Motoring With Mohammed: Journeys to Yemen and the Red Sea (Vintage Departures),85,Vintage Books USA,851000
SP006785,Orchid Fever: A Horticultural Tale of Love   Lust   and Lunacy (Vintage Departures),194,Vintage Books USA,434000
SP006786,The Hobbit and The Lord of the Rings,544,Del Rey,617000
SP006787,The English Patient,71,Vintage Books USA,248000
SP006788,Checkmate : Sixth in the Legendary Lymond Chronicles (Lymond Chronicles),280,Vintage,101000
SP006789,The Ringed Castle (Lymond Chronicles),456,Vintage,583000
SP006790,Pawn in Frankincense : Fourth in the Legendary Lymond Chronicles (Lymond Chronicles/Dorothy Dunnett),43,Vintage,414000
SP006791,The Disorderly Knights (Lymond Chronicles   3),823,Vintage,656000
SP006792,The Fourth Hand,943,Ballantine Books,212000
SP006793,Harpo Speaks!,30,Limelight Editions,942000
SP006794,Monkey Business: The Lives and Legends of the Marx Brothers,799,Thomas Dunne Books,841000
SP006795,Stan and Ollie: The Roots of Comedy: The Double Life of Laurel and Hardy,382,Thomas Dunne Books,777000
SP006796,The Nautical Chart,149,Harcourt,133000
SP006797,The Seville Communion,438,Harvest Books,859000
SP006798,Queens' Play (Legendary Lymond Chronicles),855,Vintage,417000
SP006799,Baltasar and Blimunda,220,Harvest Books,357000
SP006800,The History of the Siege of Lisbon,323,Harvest Books,316000
SP006801,All the Names,955,Harvest Books,793000
SP006802,Straight Man : A Novel (Vintage Contemporaries),383,Vintage,135000
SP006803,The Stone Raft,153,Harvest Books,435000
SP006804,The Club Dumas: A Novel,857,Vintage Books USA,816000
SP006805,A Widow for One Year,989,Fawcett,578000
SP006806,The Good Husband (Ballantine Reader's Circle),472,Ballantine Books,280000
SP006807,Anna Karenina (Wordsworth Classics),210,NTC/Contemporary Publishing Company,158000
SP006808,Summer of My Amazing Luck,590,Turnstone Press,860000
SP006809,A Boy of Good Breeding,984,Stoddart,813000
SP006810,Pray for Us Sinners,416,Insomniac Press,142000
SP006811,Amy and Isabelle : A novel,154,Vintage,903000
SP006812,The Trade,289,Douglas &amp; McIntyre,162000
SP006813,In My Hands: Memories of a Holocaust Rescuer,7,Anchor Books/Doubleday,858000
SP006814,The Map of Love,734,Trafalgar Square,357000
SP006815,One Day in the Life of Ivan Denisovich,932,Farrar   Straus and Giroux,643000
SP006816,A Fine Daughter (Fiction),11,Red Deer Press,329000
SP006817,The All-True Travels and Adventures of Lidie Newton: A Novel (Ballantine Reader's Circle),904,Ballantine Books,782000
SP006818,Cinnamon Gardens,737,Emblem Editions,860000
SP006819,That They May Face the Rising Sun,281,Faber and Faber Ltd,665000
SP006820,WHITE HOTEL,47,Pocket,286000
SP006821,Walking Across Egypt,548,Ballantine Books,590000
SP006822,The Return of the Third-Grade Ghosthunters,930,Scholastic Paperbacks (Mm),577000
SP006823,Girls R.U.L.E (Girls R.U.L.E   No 1),978,Berkley Publishing Group,928000
SP006824,Leonardo Dicaprio: Modern-Day Romeo (Laurel-Leaf Books),296,Laurel-Leaf Books,214000
SP006825,WILL POWER,841,Simon Spotlight Entertainment,310000
SP006826,Whispers from the Past,891,Simon Spotlight Entertainment,164000
SP006827,All I Need to Know I Learned from My Cat,868,Workman Publishing,887000
SP006828,Bxc Mystery of the Missing Cat,761,Scholastic Inc,805000
SP006829,Windy City Blues (V.I. Warshawski Novels (Paperback)),861,Dell,838000
SP006830,A Pirate Looks at Fifty,850,Fawcett Books,734000
SP006831,Heroes at Home: Help and Hope for America's Military Families,128,Bethany House Publishers,457000
SP006832,Betsy-Tacy (Betsy-Tacy),438,HarperCollins,145000
SP006833,WERE HISTORY : THE 20TH CENTURY SURVIVORS FINAL EXAM,159,Simon &amp; Schuster,667000
SP006834,Hawaii's Best Spooky Tales: True Local Spine-Tinglers (Hawaiis Best Spooky Tales),592,Bess Press,570000
SP006835,Grassroots Organizations: A Resource Book for Directors   Staff   and Volunteers of Small   Community-Based   Nonprofit Agencies,536,Waveland Press,229000
SP006836,The LAST VAMPIRE (LAST VAMPIRE 1) : THE LAST VAMPIRE,472,Simon Pulse,167000
SP006837,The World at Night : A Novel,708,Random House Trade Paperbacks,913000
SP006838,Cash: The Autobiography,199,HarperSanFrancisco,812000
SP006839,The Deep Blue Good-By,264,Fawcett Books,288000
SP006840,Eleni,44,Random House,381000
SP006841,Legacies: A Chinese Mosaic,194,Random House Inc,625000
SP006842,Fearless Jones,108,Little   Brown,118000
SP006843,Chasing Vermeer,827,Scholastic Press,230000
SP006844,Shadow Prey,720,Putnam Pub Group,106000
SP006845,Tony Hillerman: Three Jim Chee Mysteries : People of Darkness/the Dark Wind/the Ghostway,457,Wings,560000
SP006846,Lasher,158,Alfred A. Knopf,946000
SP006847,Tar Baby,657,Knopf,413000
SP006848,The Forgotten: A Peter Decker/Rina Lazarus Novel,43,William Morrow &amp; Company,927000
SP006849,Dragon Tears,889,Putnam Pub Group,279000
SP006850,The Hope: A Novel,548,Little Brown and Company,876000
SP006851,Night Passage (Jesse Stone Novels (Paperback)),730,Jove Books,887000
SP006852,Harry Potter and the Goblet of Fire (Book 4),760,Scholastic Paperbacks,908000
SP006853,A Common Life : The Wedding Story (The Mitford Years),864,Viking Books,630000
SP006854,All Tomorrow's Parties,636,Ace Books,566000
SP006855,Biblioholism: The Literary Addiction,857,Fulcrum Publishing,527000
SP006856,Shane,150,Bantam,486000
SP006857,Ghost Soldiers: The Forgotten Epic Story of World War II's Most Dramatic Mission,966,Doubleday,299000
SP006858,Shepherds Abiding,506,Viking Books,188000
SP006859,Koko,169,Penguin USA,500000
SP006860,News of Home: Poems (New Poets of America   No 19),187,BOA Editions,111000
SP006861,Spreading the Word: Poetry and the Survival of Community in America,340,Duke University Press,726000
SP006862,Ian Shoales' Perfect World,707,Penguin USA,543000
SP006863,Lies Across America : What Our Historic Sites Get Wrong,620,Touchstone,937000
SP006864,The Curious Eat Themselves,619,Soho Press,553000
SP006865,Horse Whisperer,343,Bantam Doubleday Dell,846000
SP006866,Sleepwalker,596,Firefly Books Ltd,619000
SP006867,Big Fish,423,Penguin USA (Paper),908000
SP006868,Black Like Me,489,Signet Book,890000
SP006869,Word of Honor,603,Zondervan Publishing Company,928000
SP006870,Shadow of Doubt,224,Zondervan Publishing Company,141000
SP006871,Shunning,386,Bantam Doubleday Dell,450000
SP006872,Comici Spaventati Guerrieri,670,Feltrinelli,570000
SP006873,Il Momento E Catartico,473,Distribooks Inc,854000
SP006874,Baol Una Tranquilla Notte Di Regime (Fiction   Poetry and Drama),576,Feltrinelli,537000
SP006875,Garzanti - Gli Elefanti: Eva Luna Racconta,718,Feltrinelli,154000
SP006876,Insciallah: Romanzo,291,Rizzoli,836000
